"Player,Runs_bat,4s_bat,6s_bat,Strike Rate_x,Wickets,Maidens,Overs,Economy,Dots,Fielder_Catch,Fielder_Stumping,Fielder_Runout,Fantasy_Points,Player_Role"
"ayush badoni,634.0,46.0,24.0,121.11714285714287,2.0,0.0,4.1,1.0285714285714285,6.0,0.0,0.0,0.0,778.0,Batsman"
"azmatullah omarzai,42.0,2.0,2.0,63.505714285714284,4.0,0.0,21.0,8.714285714285714,57.0,0.0,0.0,0.0,148.0,Batsman"
"baba indrajith â€ ,21.0,2.0,0.0,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,Batsman"
"basil thampi,0.0,0.0,0.0,0.0,6.0,0.0,16.0,12.6,35.0,0.0,0.0,0.0,150.0,Bowler"
"ben stokes,300.0,38.0,7.0,117.89090909090909,0.0,0.0,13.0,7.575454545454545,20.0,0.0,0.0,0.0,352.0,Batsman"
"bhanuka rajapaksa,203.0,17.0,8.0,107.19727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,Batsman"
"bhanuka rajapaksa â€ ,74.0,5.0,7.0,269.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,Batsman"
"bhuvneshwar kumar,116.0,13.0,0.0,34.82285714285714,44.0,6.0,194.1,7.957678571428572,489.0,0.0,0.0,0.0,1301.0,Bowler"
"bhuvneshwar kumar (c),7.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,Batsman"
"br sharath â€ ,2.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Batsman"
"cameron green,707.0,62.0,32.0,129.89896551724138,14.0,0.0,69.1,8.626551724137931,150.0,0.0,0.0,0.0,1183.0,Batsman"
"chetan sakariya,20.0,3.0,0.0,20.589473684210525,20.0,1.0,64.0,7.631052631578948,136.0,0.0,0.0,0.0,535.0,Bowler"
"chris gayle,193.0,21.0,8.0,92.69090909090909,0.0,0.0,0.5,0.5454545454545454,0.0,0.0,0.0,0.0,230.0,Batsman"
"chris green,0.0,0.0,0.0,0.0,0.0,0.0,2.5,8.47,6.0,0.0,0.0,0.0,0.0,Unknown"
"chris jordan,49.0,1.0,3.0,33.182105263157894,15.0,1.0,64.8,9.877894736842105,133.0,0.0,0.0,0.0,443.0,Bowler"
"chris lynn,49.0,4.0,3.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,Batsman"
"chris morris,67.0,2.0,5.0,32.63789473684211,26.0,1.0,61.4,7.042631578947368,163.0,0.0,0.0,0.0,741.0,Bowler"
"chris woakes,15.0,2.0,0.0,45.45333333333334,5.0,0.0,11.0,7.333333333333333,33.0,0.0,0.0,0.0,142.0,Bowler"
"dale steyn,0.0,0.0,0.0,0.0,1.0,0.0,7.4,9.875,19.0,0.0,0.0,0.0,25.0,Unknown"
"dan christian,0.0,0.0,0.0,0.0,4.0,0.0,16.4,9.673333333333334,29.0,0.0,0.0,0.0,100.0,Unknown"
"daniel sams,38.0,1.0,3.0,97.32357142857143,14.0,0.0,52.0,8.76142857142857,126.0,0.0,0.0,0.0,395.0,Allrounder"
"darshan nalkande,12.0,0.0,1.0,18.18166666666667,6.0,0.0,13.6,10.03,24.0,0.0,0.0,0.0,164.0,Bowler"
"daryl mitchell,351.0,28.0,10.0,123.15866666666666,1.0,0.0,7.0,2.8,4.0,0.0,0.0,0.0,424.0,Batsman"
"dasun shanaka,26.0,2.0,1.0,78.27333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,Batsman"
"david miller,1074.0,81.0,47.0,122.48340425531916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1249.0,Batsman"
"david warner,602.0,69.0,25.0,106.05608695652174,0.0,0.0,0.1,0.5217391304347826,0.0,0.0,0.0,0.0,721.0,Batsman"
"david warner (c),1257.0,136.0,30.0,116.88694444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1453.0,Batsman"
"david wiese,21.0,0.0,3.0,194.44333333333336,0.0,0.0,3.0,4.22,3.0,0.0,0.0,0.0,27.0,Batsman"
"david willey,0.0,0.0,0.0,0.0,4.0,1.0,26.0,6.61375,64.0,0.0,0.0,0.0,112.0,Unknown"
"dawid malan,26.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,Batsman"
"deepak chahar,9.0,0.0,0.0,8.333333333333334,40.0,3.0,144.3,8.211904761904762,348.0,0.0,0.0,0.0,1045.0,Bowler"
"deepak hooda,840.0,64.0,32.0,108.211875,3.0,0.0,24.0,2.256875,42.0,0.0,0.0,0.0,1043.0,Batsman"
"devdutt padikkal,675.0,74.0,20.0,98.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.0,Batsman"
